編號,歌手/團體名稱,類別標籤,別名/譯名,相關團體,合唱組合,歌庫已收錄曲數
1,田馥甄,Solo,"Hebe, 田喜碧",S.H.E,"田馥甄 & 井柏然, 田馥甄 & 吳青峰",49
2,周杰倫,Solo,"Jay Chou, 周董",南拳媽媽,"周杰倫 & 溫嵐, 周杰倫 & 費玉清, 周杰倫 & 阿信, 周杰倫 & 派偉俊",81
3,阿信,Solo / Group Lead,陳信宏,五月天,"五月天 & 蔡依林, 阿信 & 丁噹, 周杰倫 & 阿信",7
4,蔡依林,Solo,"Jolin Tsai, Jolin",,"蔡依林 & 陶喆, 五月天 & 蔡依林, 蔡依林 & 安室奈美惠",120
5,華晨宇,Solo,"花花, Hua Chenyu",,華晨宇 & 楊宗緯,8
6,李榮浩,Solo,Ronghao Li,,李榮浩 & 張藝興,50
7,薛之謙,Solo,Joker Xue,,"薛之謙 & 郭頂, 薛之謙 & 毛不易",46
8,毛不易,Solo,Mao Buyi,,毛不易 & 周深,9
9,周深,Solo,Charlie Zhou,,周深 & 陸虎,27
10,張碧晨,Solo,Diamond Zhang,,張碧晨 & 楊宗緯,19
11,顏人中,Solo,Ele Yan,,,11
12,鳳凰傳奇,Group,Phoenix Legend,,,48
13,新褲子,Group,New Pants,,,0
14,伍佰,Group / Solo,"伍佰 & China Blue, 吳俊霖",China Blue,伍佰 & 萬芳,103
15,茄子蛋,Group,EggPlantEgg,,,14
16,吳青峰,Solo,青峰,"蘇打綠, 魚丁糸","吳青峰 & 9m88, 田馥甄 & 吳青峰",21
17,張學友,Solo,歌神,四大天王,"張學友 & 湯寶如, 張學友 & 高慧君, 張學友 & 陳慧嫻",128
18,放火,Solo / Group,,,,1
19,大支+春風,Solo / Group,,,,0
20,高盟傑+黃鐙輝+邱凱偉,Solo / Group,,,,0
21,51,Solo / Group,,,,11
22,孔令奇,Solo / Group,,,,20
23,余佩真,Solo / Group,,,,4
24,多多+以捷,Solo / Group,,,,0
25,畢書盡,Solo / Group,,,,54
26,洋蔥,Solo / Group,,,,1
27,高子洋,Solo / Group,,,,11
28,阿雅,Solo / Group,,,,12
29,不是花火呀,Solo / Group,,,,8
30,自由發揮,Solo / Group,,,,19
31,Jackson 5,Solo / Group,,,,0
32,3秒樂團,Solo / Group,,,,0
33,陳慧琳,Solo / Group,,,,0
34,溫嵐,Solo / Group,,,,0
35,五月天,Solo / Group,,,,1
36,By2,Solo / Group,,,,0
37,快樂二世代,Solo / Group,,,,0
38,BCW,Solo / Group,,,,0
39,宋蕊安,Solo / Group,,,,0
40,阿杜,Solo / Group,,,,0
41,ROSÉ+Bruno Mars,Solo / Group,,,,0
42,王艷薇,Solo / Group,,,,0
43,游喧,Solo / Group,,,,0
44,林俊傑,Solo / Group,,,,0
45,鍾漢良,Solo / Group,,,,0
46,陶喆,Solo / Group,,,,0
47,JKAI,Solo / Group,,,,0
48,大支,Solo / Group,,,,0
49,SMAP,Solo / Group,,,,0
50,呂莘,Solo / Group,,,,0
51,MISSTER,Solo / Group,,,,0
52,蔡宜軒,Solo / Group,,,,0
53,鈴木聖美,Solo / Group,,,,0
54,VERA,Solo / Group,,,,0
55,劉德華,Solo / Group,,,,0
56,Janet Jackson,Solo / Group,,,,0
57,A-Lin,Solo / Group,,,,0
58,蜜雪薇琪,Solo / Group,,,,0
59,Alan Walker,Solo / Group,,,,0
60,莫文蔚,Solo / Group,,,,0
61,Beyond,Solo / Group,,,,0
62,玖壹壹,Solo / Group,,,,0
63,梁詠琪,Solo / Group,,,,0
64,趙詠華,Solo / Group,,,,0
65,林凡,Solo / Group,,,,0
66,T-RUSH,Solo / Group,,,,0
67,謊言留聲機,Solo / Group,,,,0
68,陳冠希,Solo / Group,,,,0
69,李聖傑,Solo / Group,,,,0
70,黎明,Solo / Group,,,,0
71,BOOM！怪物星人,Solo / Group,,,,0
72,黃志瑋,Solo / Group,,,,0
73,大嘴巴,Solo / Group,,,,0
74,冠宇,Solo / Group,,,,0
75,Michael Jackson,Solo / Group,,,,0
76,顏慧萍+趙潔瑩,Solo / Group,,,,0
77,王心凌,Solo / Group,,,,0
78,ØZI,Solo / Group,,,,0
79,Styx,Solo / Group,,,,0
80,BRANDY,Solo / Group,,,,0
81,Justin Bieber,Solo / Group,,,,0
82,機動現場,Solo / Group,,,,0
83,方大同,Solo / Group,,,,0
84,MATCHBOX TWENTY,Solo / Group,,,,0
85,陶晶瑩,Solo / Group,,,,0
86,中國娃娃,Solo / Group,,,,0
87,S.H.E,Solo / Group,,,,0
88,Energy,Solo / Group,,,,0
89,The Writers寫手,Solo / Group,,,,0
90,蔡恩雨,Solo / Group,,,,0
91,Usher,Solo / Group,,,,0
92,李玟,Solo / Group,,,,0
93,小龍女,Solo / Group,,,,0
94,郭靜,Solo / Group,,,,0
95,MEREDITH BROOKS,Solo / Group,,,,0
96,蕭敬騰,Solo / Group,,,,0
97,花世紀,Solo / Group,,,,0
98,可米小子+安鈞璨+張庭偉,Solo / Group,,,,0
99,吳霏,Solo / Group,,,,0
100,熊仔,Solo / Group,,,,0
101,張靚穎,Solo / Group,,,,0
102,吳卓源+陳芳語,Solo / Group,,,,0
103,RK金承熙,Solo / Group,,,,0
104,吳建豪,Solo / Group,,,,0
105,陳忻玥+李杰明,Solo / Group,,,,0
106,炎亞綸,Solo / Group,,,,0
107,Usher+Alicia Keys,Solo / Group,,,,0
108,周湯豪,Solo / Group,,,,0
109,女孩與機器人,Solo / Group,,,,0
110,鄧紫棋,Solo / Group,,,,0
111,黃鴻升,Solo / Group,,,,0
112,高爾宣,Solo / Group,,,,0
113,吳淑敏,Solo / Group,,,,0
114,許含光,Solo / Group,,,,0
115,卓文萱,Solo / Group,,,,0
116,C.T.O,Solo / Group,,,,0
117,先知瑪莉,Solo / Group,,,,0
118,王若琳,Solo / Group,,,,0
119,秦宇子,Solo / Group,,,,0
120,張菲,Solo / Group,,,,0
121,B.A.D,Solo / Group,,,,0
122,柯有倫,Solo / Group,,,,0
123,PRINCE,Solo / Group,,,,0
124,Tlc,Solo / Group,,,,0
125,羅百吉+寶貝,Solo / Group,,,,0
126,李韋,Solo / Group,,,,0
127,F.I.R.,Solo / Group,,,,0
128,瘦子E.SO,Solo / Group,,,,0
129,林明禎,Solo / Group,,,,0
130,라붐,Solo / Group,,,,0
131,HIRO,Solo / Group,,,,0
132,ROY ORBISON,Solo / Group,,,,0
133,Blondie,Solo / Group,,,,0
134,潘俊佳+FEniX,Solo / Group,,,,0
135,徐懷鈺,Solo / Group,,,,0
136,鳥屎+XICO+阿樂,Solo / Group,,,,0
137,林依晨+楊謹華+梁又琳,Solo / Group,,,,0
138,羊駝小姐,Solo / Group,,,,0
139,蔡佩軒,Solo / Group,,,,0
140,Kool+The Gang,Solo / Group,,,,0
141,Tyson Yoshi,Solo / Group,,,,0
142,許紹洋,Solo / Group,,,,0
143,陳昇,Solo / Group,,,,0
144,福山雅治,Solo / Group,,,,0
145,庾澄慶,Solo / Group,,,,0
146,City魅,Solo / Group,,,,0
147,沈文程,Solo / Group,,,,0
148,李振全,Solo / Group,,,,0
149,張惠妹,Solo / Group,,,,0
150,Tomo GÖ,Solo / Group,,,,0
151,張智成,Solo / Group,,,,0
152,婁峻碩,Solo / Group,,,,0
153,Britney Spears,Solo / Group,,,,0
154,李浩瑋,Solo / Group,,,,0
155,宇多田ヒカル,Solo / Group,,,,0
156,Xunday,Solo / Group,,,,0
157,春風,Solo / Group,,,,0
158,麵飽堡,Solo / Group,,,,0
159,呂方+袁惟仁+顏志琳,Solo / Group,,,,0
160,菲菲公主,Solo / Group,,,,0
161,艾雨帆,Solo / Group,,,,0
162,潘瑋柏+杜詩梅,Solo / Group,,,,0
163,Nora Says-Samuel,Solo / Group,,,,0
164,蕭秉治,Solo / Group,,,,0
165,艾青,Solo / Group,,,,0
166,羅志祥,Solo / Group,,,,0
167,Paul Anka,Solo / Group,,,,0
168,黃玠,Solo / Group,,,,0
169,Blueburn,Solo / Group,,,,0
170,張棟樑,Solo / Group,,,,0
171,元衛覺醒,Solo / Group,,,,0
172,徐若瑄,Solo / Group,,,,0
173,THE CARS,Solo / Group,,,,0
174,今井美樹,Solo / Group,,,,0
175,ELTON JOHN,Solo / Group,,,,0
176,紙片人,Solo / Group,,,,0
177,旺福,Solo / Group,,,,0
178,高爾宣OSN+李浩瑋HOWARD LEE,Solo / Group,,,,0
179,Leetwood Mac,Solo / Group,,,,0
180,The Cranberries,Solo / Group,,,,0
181,陳潔儀,Solo / Group,,,,0
182,五堅情,Solo / Group,,,,0
183,Hanch 兄弟,Solo / Group,,,,0
184,周蕙,Solo / Group,,,,0
185,品冠,Solo / Group,,,,0
186,梁心頤,Solo / Group,,,,0
187,范曉萱,Solo / Group,,,,0
188,濱崎步,Solo / Group,,,,0
189,Crispy脆樂團+熊仔,Solo / Group,,,,0
190,林子良,Solo / Group,,,,0
191,夾子太硬啦,Solo / Group,,,,0
192,Echo,Solo / Group,,,,0
193,島谷瞳,Solo / Group,,,,0
194,一口甜,Solo / Group,,,,0
195,蔣卓嘉+魏如萱,Solo / Group,,,,0
196,noovy,Solo / Group,,,,0
197,COMMODORES,Solo / Group,,,,0
198,張玉華,Solo / Group,,,,0
199,JUD 陳泳希,Solo / Group,,,,0
200,酒井法子,Solo / Group,,,,0
201,DO AS INFINITY,Solo / Group,,,,0
202,L'arc～En～Ciel,Solo / Group,,,,0
203,X Japan,Solo / Group,,,,0
204,梁靜茹,Solo / Group,,,,0
205,EXID,Solo / Group,,,,0
206,LUNA SEA,Solo / Group,,,,0
207,呂薔,Solo / Group,,,,0
208,MISIA,Solo / Group,,,,0
209,平井 堅,Solo / Group,,,,0
210,Every Little Thing,Solo / Group,,,,0
211,宇恆,Solo / Group,,,,0
212,瑄+A1 xxxmiracle,Solo / Group,,,,0
213,恰克與飛鳥,Solo / Group,,,,0
214,倖田來未,Solo / Group,,,,0
215,槙原敬之,Solo / Group,,,,0
216,安室奈美惠,Solo / Group,,,,0
217,EAST END*YURI,Solo / Group,,,,0
218,RIGHTEOUS BROTHERS,Solo / Group,,,,0
219,嚴爵,Solo / Group,,,,0
220,蘇打綠,Solo / Group,,,,0
221,BABYFACE,Solo / Group,,,,0
222,MC HOTDOG,Solo / Group,,,,0
223,Aioz+BigYear大年,Solo / Group,,,,0
224,Crockers 鱷魚樂團,Solo / Group,,,,0
225,FIRE,Solo / Group,,,,0
226,方大同+王力宏,Solo / Group,,,,0
227,楊乃文+落日飛車,Solo / Group,,,,0
228,George Michael,Solo / Group,,,,0
229,小宇,Solo / Group,,,,0
230,SUNDAY GIRLS,Solo / Group,,,,0
231,蕭賀碩,Solo / Group,,,,0
232,何欣穗,Solo / Group,,,,0
233,劉若英,Solo / Group,,,,0
234,阿霈樂團,Solo / Group,,,,0
235,梨凍緊+Wiz_H張子豪,Solo / Group,,,,0
236,蔣小呢,Solo / Group,,,,0
237,安全地帶,Solo / Group,,,,0
238,Alicia Keys,Solo / Group,,,,0
239,言承旭,Solo / Group,,,,0
240,L.A BOYZ,Solo / Group,,,,0
241,丁小芹,Solo / Group,,,,0
242,二個女生,Solo / Group,,,,0
243,汪東城,Solo / Group,,,,0
244,兄弟本色,Solo / Group,,,,0
245,5566,Solo / Group,,,,0
246,王鶴棣+官鴻+梁靖康+吳希澤,Solo / Group,,,,0
247,MARIAH CAREY,Solo / Group,,,,0
248,齊豫,Solo / Group,,,,0
249,廖語晴+JUNJIN,Solo / Group,,,,0
250,曹格+許瑋倫,Solo / Group,,,,0
251,丁噹,Solo / Group,,,,1
252,嘴哥樂團,Solo / Group,,,,0
253,林愷倫,Solo / Group,,,,0
254,吳映潔,Solo / Group,,,,0
255,鼓鼓+U:NUS,Solo / Group,,,,0
256,頑童MJ116,Solo / Group,,,,0
257,陳司翰,Solo / Group,,,,0
258,原子少年天王星,Solo / Group,,,,0
259,少女時代,Solo / Group,,,,0
260,四分衛,Solo / Group,,,,0
261,盧春如,Solo / Group,,,,0
262,BLUE,Solo / Group,,,,0
263,李玖哲+倪耐斯,Solo / Group,,,,0
264,陳瑾緗,Solo / Group,,,,0
265,MP魔幻力量,Solo / Group,,,,0
266,趙泳鑫,Solo / Group,,,,0
267,黃義達,Solo / Group,,,,0
268,張可芝,Solo / Group,,,,0
269,洛客班,Solo / Group,,,,0
270,TRASH,Solo / Group,,,,0
271,潘嘉麗,Solo / Group,,,,0
272,Ciara,Solo / Group,,,,0
273,BigBang,Solo / Group,,,,0
274,久保田利伸,Solo / Group,,,,0
275,金志遙,Solo / Group,,,,0
276,Temptations,Solo / Group,,,,0
277,PAUL YOUNG,Solo / Group,,,,0
278,T.M. REVOLUTION,Solo / Group,,,,0
279,SOLARISM,Solo / Group,,,,0
280,克麗絲叮,Solo / Group,,,,0
281,徐若瑄+麋先生,Solo / Group,,,,0
282,張國榮,Solo / Group,,,,0
283,嘴哥樂團+魏如萱,Solo / Group,,,,0
284,心微,Solo / Group,,,,0
285,金賢重,Solo / Group,,,,0
286,AK,Solo / Group,,,,0
287,黃立行,Solo / Group,,,,0
288,Beatles,Solo / Group,,,,0
289,183Club,Solo / Group,,,,0
290,陳小春,Solo / Group,,,,0
291,東城衛,Solo / Group,,,,0
292,李立崴,Solo / Group,,,,0
293,王詩安,Solo / Group,,,,0
294,Deep Purple,Solo / Group,,,,0
295,順子,Solo / Group,,,,0
296,許慧欣,Solo / Group,,,,0
297,TFBOYS,Solo / Group,,,,0
298,龔言脩,Solo / Group,,,,0
299,Hello,Solo / Group,,,,0
300,Lionel Richie,Solo / Group,,,,0
301,黃齡,Solo / Group,,,,0
302,蕭敬騰+林俊傑,Solo / Group,,,,0
303,曹格,Solo / Group,,,,0
304,麋先生,Solo / Group,,,,0
305,曾寶儀,Solo / Group,,,,0
306,郭書瑤,Solo / Group,,,,0
307,HUMAN LEAGUE,Solo / Group,,,,0
308,潘瑋柏,Solo / Group,,,,0
309,羽泉,Solo / Group,,,,0
310,RICHARD MARX,Solo / Group,,,,0
311,Bryan Adams,Solo / Group,,,,0
312,哥哥妹妹 GoGo & MeMe,Solo / Group,,,,0
313,李幸倪+陳梓童,Solo / Group,,,,0
314,Wow,Solo / Group,,,,0
315,盧廣仲,Solo / Group,,,,0
316,獅子合唱團,Solo / Group,,,,0
317,Asiaboy 禁藥王+Lizi 栗子,Solo / Group,,,,0
318,AAA,Solo / Group,,,,0
319,大合唱,Solo / Group,,,,0
320,HITOE'S 57 MOVE,Solo / Group,,,,0
321,韋禮安,Solo / Group,,,,0
322,木瑪樂隊,Solo / Group,,,,0
323,大塚愛,Solo / Group,,,,0
324,閻奕格,Solo / Group,,,,0
325,孫楠,Solo / Group,,,,0
326,広瀬香美,Solo / Group,,,,0
327,R. KELLY,Solo / Group,,,,0
328,モーニング娘,Solo / Group,,,,0
329,熊天平,Solo / Group,,,,0
330,Aerosmith,Solo / Group,,,,0
331,F.CUZ+郭書瑤,Solo / Group,,,,0
332,Lady Gaga,Solo / Group,,,,0
333,王力宏,Solo / Group,,,,0
334,Devin,Solo / Group,,,,0
335,張韶涵,Solo / Group,,,,0
336,孫燕姿,Solo / Group,,,,0
337,小野麗莎,Solo / Group,,,,0
338,Machi,Solo / Group,,,,0
339,James Ingram,Solo / Group,,,,0
340,黃宥傑,Solo / Group,,,,0
341,張娜拉,Solo / Group,,,,0
342,Lady Gaga+Colby O'Donis,Solo / Group,,,,0
